params,mean_test_score,std_test_score,rank_test_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,total_running_time
"{'feature_selection__max_features': 1881, 'rr_classifier__max_features': 20, 'rr_classifier__min_samples_leaf': 1, 'rr_classifier__min_samples_split': 4, 'rr_classifier__n_estimators': 100}",0.964074368345781,0.009274172030098084,437,3.615148687362671,0.23037096665642182,0.13613052368164064,0.05707858132854645,3.7512792110443116
"{'feature_selection__max_features': 1881, 'rr_classifier__max_features': 20, 'rr_classifier__min_samples_leaf': 1, 'rr_classifier__min_samples_split': 4, 'rr_classifier__n_estimators': 300}",0.9677610042904814,0.008723584787800161,39,5.653590869903565,0.05318337626814916,0.1765896797180176,0.036762728650339825,5.830180549621582
"{'feature_selection__max_features': 1881, 'rr_classifier__max_features': 20, 'rr_classifier__min_samples_leaf': 1, 'rr_classifier__min_samples_split': 4, 'rr_classifier__n_estimators': 500}",0.9654568568250437,0.010083276493218826,256,7.851011180877686,0.07036831663678869,0.2203516483306885,0.035801273580657954,8.071362829208374
"{'feature_selection__max_features': 1881, 'rr_classifier__max_features': 20, 'rr_classifier__min_samples_leaf': 1, 'rr_classifier__min_samples_split': 6, 'rr_classifier__n_estimators': 100}",0.962235287886011,0.011687076116692285,509,3.530519151687622,0.20063622410059917,0.10646758079528809,0.018678134014661972,3.63698673248291
"{'feature_selection__max_features': 1881, 'rr_classifier__max_features': 20, 'rr_classifier__min_samples_leaf': 1, 'rr_classifier__min_samples_split': 6, 'rr_classifier__n_estimators': 300}",0.9640754277239261,0.008676852460437987,424,5.577563142776489,0.2141230896094952,0.17860159873962403,0.04237188901224803,5.756164741516113
"{'feature_selection__max_features': 1881, 'rr_classifier__max_features': 20, 'rr_classifier__min_samples_leaf': 1, 'rr_classifier__min_samples_split': 6, 'rr_classifier__n_estimators': 500}",0.9636156576089835,0.008270283672237585,458,7.80715045928955,0.31347978506976615,0.23657865524291993,0.03702029121890939,8.04372911453247
"{'feature_selection__max_features': 1881, 'rr_classifier__max_features': 20, 'rr_classifier__min_samples_leaf': 3, 'rr_classifier__min_samples_split': 2, 'rr_classifier__n_estimators': 100}",0.9599300810424282,0.010141090837532642,570,3.541892576217651,0.1448850642697195,0.09046635627746583,0.012133427114604713,3.632358932495117
"{'feature_selection__max_features': 1881, 'rr_classifier__max_features': 20, 'rr_classifier__min_samples_leaf': 3, 'rr_classifier__min_samples_split': 2, 'rr_classifier__n_estimators': 300}",0.9640754277239261,0.007773178314000985,424,5.4339910507202145,0.13572271244628803,0.1770336151123047,0.025410941489897712,5.611024665832519
"{'feature_selection__max_features': 1881, 'rr_classifier__max_features': 20, 'rr_classifier__min_samples_leaf': 3, 'rr_classifier__min_samples_split': 2, 'rr_classifier__n_estimators': 500}",0.9649992054663912,0.009344837247823555,299,7.466082143783569,0.18226091326927685,0.22429304122924804,0.03644258972525353,7.690375185012817
"{'feature_selection__max_features': 1881, 'rr_classifier__max_features': 20, 'rr_classifier__min_samples_leaf': 3, 'rr_classifier__min_samples_split': 4, 'rr_classifier__n_estimators': 100}",0.9617733990147783,0.0074859646157803645,529,3.415258264541626,0.2182902567707449,0.12861371040344238,0.044684226193231265,3.5438719749450684
