params,mean_test_score,std_test_score,rank_test_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_feature_selection__percentile,param_knn_classifier__n_neighbors,total_running_time
"{'data_scaling': StandardScaler(), 'feature_selection__percentile': 60, 'knn_classifier__n_neighbors': 7, 'knn_classifier__weights': 'uniform'}",0.847,0.00040000000000001146,36,3.1467257738113403,0.6060572862625122,50.73264467716217,0.11605536937713623,60,7,53.87937045097351
"{'data_scaling': StandardScaler(), 'feature_selection__percentile': 60, 'knn_classifier__n_neighbors': 5, 'knn_classifier__weights': 'uniform'}",0.8469833333333333,0.000983333333333336,37,2.760992407798767,0.7484582662582397,51.670486092567444,0.9422284364700317,60,5,54.43147850036621
"{'data_scaling': MinMaxScaler(), 'feature_selection__percentile': 80, 'knn_classifier__n_neighbors': 7, 'knn_classifier__weights': 'distance'}",0.84695,0.0002166666666666428,38,2.1938180923461914,0.0009021759033203125,61.96634137630463,0.2179793119430542,80,7,64.16015946865082
"{'data_scaling': MinMaxScaler(), 'feature_selection__percentile': 70, 'knn_classifier__n_neighbors': 7, 'knn_classifier__weights': 'uniform'}",0.8469333333333333,9.999999999998899e-05,39,2.1285178661346436,0.03616213798522949,54.91930317878723,0.23956298828125,70,7,57.047821044921875
"{'data_scaling': MinMaxScaler(), 'feature_selection__percentile': 75, 'knn_classifier__n_neighbors': 3, 'knn_classifier__weights': 'distance'}",0.8467833333333333,0.00024999999999997247,40,2.215439796447754,0.02762603759765625,58.38945543766022,0.16494357585906982,75,3,60.60489523410797
"{'data_scaling': StandardScaler(), 'feature_selection__percentile': 80, 'knn_classifier__n_neighbors': 3, 'knn_classifier__weights': 'uniform'}",0.8467333333333333,0.0006333333333333746,41,2.3780181407928467,0.8632283210754395,65.9553382396698,3.168583631515503,80,3,68.33335638046265
"{'data_scaling': MinMaxScaler(), 'feature_selection__percentile': 75, 'knn_classifier__n_neighbors': 7, 'knn_classifier__weights': 'uniform'}",0.8467166666666667,4.999999999999449e-05,42,2.109450578689575,0.08206057548522949,58.699400901794434,0.018504619598388672,75,7,60.80885148048401
"{'data_scaling': MinMaxScaler(), 'feature_selection__percentile': 90, 'knn_classifier__n_neighbors': 5, 'knn_classifier__weights': 'distance'}",0.8467166666666667,0.00028333333333330213,42,2.1066808700561523,0.5854904651641846,67.82968354225159,0.1430833339691162,90,5,69.93636441230774
"{'data_scaling': StandardScaler(), 'feature_selection__percentile': 80, 'knn_classifier__n_neighbors': 9, 'knn_classifier__weights': 'uniform'}",0.8466833333333333,0.00011666666666665382,44,1.7961920499801636,0.17791807651519775,38.220802664756775,3.396044135093689,80,9,40.01699471473694
"{'data_scaling': StandardScaler(), 'feature_selection__percentile': 90, 'knn_classifier__n_neighbors': 5, 'knn_classifier__weights': 'uniform'}",0.8466833333333333,0.0003833333333332911,44,2.6996337175369263,0.05556285381317139,69.04042673110962,0.03507256507873535,90,5,71.74006044864655
"{'data_scaling': MinMaxScaler(), 'feature_selection__percentile': 70, 'knn_classifier__n_neighbors': 9, 'knn_classifier__weights': 'uniform'}",0.8465666666666667,0.00030000000000002247,46,2.124483108520508,0.017195463180541992,55.01356112957001,0.16355741024017334,70,9,57.138044238090515
"{'data_scaling': MinMaxScaler(), 'feature_selection__percentile': 70, 'knn_classifier__n_neighbors': 3, 'knn_classifier__weights': 'distance'}",0.8465333333333334,0.0009333333333333416,47,2.1279226541519165,0.0008159875869750977,54.45871603488922,0.12940561771392822,70,3,56.58663868904114
"{'data_scaling': MinMaxScaler(), 'feature_selection__percentile': 80, 'knn_classifier__n_neighbors': 5, 'knn_classifier__weights': 'uniform'}",0.8465333333333334,0.0004666666666666708,47,2.144204616546631,0.025084972381591797,63.4125257730484,1.1787649393081665,80,5,65.55673038959503
"{'data_scaling': StandardScaler(), 'feature_selection__percentile': 70, 'knn_classifier__n_neighbors': 3, 'knn_classifier__weights': 'uniform'}",0.8464,9.999999999998899e-05,49,2.850345730781555,0.7894819974899292,50.6048766374588,10.717766642570496,70,3,53.455222368240356
"{'data_scaling': MinMaxScaler(), 'feature_selection__percentile': 60, 'knn_classifier__n_neighbors': 5, 'knn_classifier__weights': 'distance'}",0.8463833333333334,4.999999999999449e-05,50,2.0489649772644043,0.03156542778015137,47.26546120643616,0.12211966514587402,60,5,49.31442618370056
"{'data_scaling': StandardScaler(), 'feature_selection__percentile': 90, 'knn_classifier__n_neighbors': 7, 'knn_classifier__weights': 'distance'}",0.8463666666666667,0.0004333333333333412,51,2.7076470851898193,0.03135800361633301,67.76580822467804,1.4057015180587769,90,7,70.47345530986786
